fecha;codigo;facultad;area;materia;seccion;horario;dias;evaluacion;tipo;inscritos;examinados;modalidad
2023-02-16;GRAS-H;Fac_CiSo;IDIOMAS;GRAMÁTICA SUPERIOR;1;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;52;50;PRESENCIAL
2023-02-16;OCOM-I;Fac_InCa;INFORMATICA;ORGANIZACIÓN DE LAS COMPUTADORAS;2;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;25;24;PRESENCIAL
2023-02-16;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;21;09:30-11:00;Ma-Jue;PRIMERA;ORDINARIA;51;46;EN LINEA
2023-02-16;NECL-P;Fac_CiSo;PSICOLOGIA;NEUROPSICOLOGÍA CLÍNICA;2;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;25;23;PRESENCIAL
2023-02-16;FIS3-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;FÍSICA III;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;52;51;EN LINEA
2023-02-16;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;16;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;67;57;PRESENCIAL
2023-02-16;FILO-H;Fac_CiSo;ANTROPOLOGIA;FILOSOFÍA;6;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;41;39;PRESENCIAL
2023-02-16;REA1-V;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;4;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;120;104;VIRTUAL
2023-02-16;TER1-T;Fac_InCa;INFORMATICA;TECNOLOGÍA CERTIFICADA EN REDES I;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;22;20;EN LINEA
2023-02-16;EPRO-V;Fac_CiSo;ANTROPOLOGIA;ÉTICA;3;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;81;78;VIRTUAL
2023-02-16;EPRO-V;Fac_CiSo;ANTROPOLOGIA;ÉTICA;4;00:00-23:59;Lu-Ma-Mie-Jue-Vie-Sab-Dom;PRIMERA;ORDINARIA;70;69;VIRTUAL
2023-02-16;FEPP-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS;1;06:30-08:00;Ma-Jue;PRIMERA;ORDINARIA;43;42;EN LINEA
2023-02-16;MYTI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN;2;09:45-11:15;Ma-Jue;PRIMERA;ORDINARIA;78;69;PRESENCIAL
