fecha;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad;inasistencia
ENERO 2023;MODEI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;INGLÉS TÉCNICO II (MODELOS DE DECISIÓN);1;mañana;Ma-Jue-Sab;5;5;EN LINEA;0
ENERO 2023;FILO-H;Fac_CiSo;ANTROPOLOGIA;FILOSOFÍA;4;mañana;Ma-Jue;73;60;PRESENCIAL;13
ENERO 2023;DEM2N-D;Fac_Der;DERECHO;DERECHO MERCANTIL II;1;mañana;Ma-Jue;87;30;EN LINEA;57
ENERO 2023;MAT2-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;2;mañana;Ma-Jue;17;15;PRESENCIAL;2
ENERO 2023;ING1-H;Fac_CiSo;IDIOMAS;INGLÉS I;2;mañana;Ma-Jue;41;31;PRESENCIAL;10
ENERO 2023;ING2-H;Fac_CiSo;IDIOMAS;INGLÉS II;2;mañana;Ma-Jue;25;18;PRESENCIAL;7
ENERO 2023;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;7;mañana;Ma-Jue;66;61;EN LINEA;5
ENERO 2023;ING2-H;Fac_CiSo;IDIOMAS;INGLÉS II;3;mañana;Ma-Jue;54;42;PRESENCIAL;12
ENERO 2023;MAT3-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA III;2;mañana;Ma-Jue;57;55;PRESENCIAL;2
ENERO 2023;PUB1-H;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;1;mañana;Ma-Jue;15;14;PRESENCIAL;1
ENERO 2023;ARAR2-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;ARTES GRÁFICAS II;1;mañana;Ma-Jue;64;61;PRESENCIAL;3
ENERO 2023;PSD-I;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA DEL DESARROLLO;2;mañana;Ma-Jue;79;75;EN LINEA;4
ENERO 2023;GEHT-I;Fac_CiSo;IDIOMAS;GESTIÓN HOTELERA Y TURISMO;1;mañana;Ma-Jue;55;53;EN LINEA;2
ENERO 2023;PEST-H;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;PSICO-ESTADÍSTICA;1;mañana;Ma-Jue;42;37;PRESENCIAL;5
ENERO 2023;COA1-I;Fac_CiSo;IDIOMAS;COMPRENSIÓN AUDITIVA I;2;mañana;Ma-Jue;54;52;PRESENCIAL;2
ENERO 2023;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;2;mañana;Ma-Jue;95;88;PRESENCIAL;7
ENERO 2023;PSEM-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA EMPRESARIAL;2;mañana;Ma-Jue;37;37;PRESENCIAL;0
ENERO 2023;ING1-H;Fac_CiSo;IDIOMAS;INGLÉS I;5;mañana;Ma-Jue;81;65;PRESENCIAL;16
ENERO 2023;MYTI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN;1;mañana;Ma-Jue;89;84;PRESENCIAL;5
ENERO 2023;PUB1-H;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;2;mañana;Ma-Jue;50;41;EN LINEA;9
ENERO 2023;MAT2-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;3;mañana;Ma-Jue;46;45;PRESENCIAL;1
ENERO 2023;ORTI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ORIENTACIÓN TÉCNICA DE INGENIERÍA;4;mañana;Ma-Jue;89;89;PRESENCIAL;0
ENERO 2023;STCB-H;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;SEMINARIO TALLER DE COMPETENCIAS;11;mañana;Ma-Jue;69;65;PRESENCIAL;4
ENERO 2023;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;16;mañana;Ma-Jue;89;86;PRESENCIAL;3
ENERO 2023;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;6;mañana;Ma-Jue;87;86;PRESENCIAL;1
ENERO 2023;PED-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA EDUCATIVA;1;mañana;Ma-Jue;36;33;PRESENCIAL;3
ENERO 2023;IAR1-H;Fac_CiSo;ANTROPOLOGIA;INVESTIGACIÓN ARQUEOLÓGICA I;1;mañana;Ma-Jue;6;5;EN LINEA;1
ENERO 2023;MATE-E;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;5;mañana;Ma-Jue;36;33;PRESENCIAL;3
ENERO 2023;FILJ-D;Fac_Der;DERECHO;FILOSOFÍA JURÍDICA;1;mañana;Ma-Jue;92;68;EN LINEA;24
ENERO 2023;TCOM-H;Fac_CiSo;COMUNICACIONES;TEORÍA DE LA COMUNICACIÓN;1;mañana;Ma-Jue;44;41;PRESENCIAL;3
ENERO 2023;LCI2-H;Fac_CiSo;IDIOMAS;LECTURA Y CONVERSACIÓN EN INGLÉS II;1;mañana;Ma-Jue;70;62;EN LINEA;8
ENERO 2023;MESE-E;Fac_CiEmp;NEGOCIOS;MERCADOTECNIA DE SERVICIOS;1;mañana;Ma-Jue;52;44;EN LINEA;8
ENERO 2023;MAT2-E;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;1;mañana;Ma-Jue;19;16;PRESENCIAL;3
ENERO 2023;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;20;mañana;Ma-Jue;88;88;PRESENCIAL;0
ENERO 2023;FIS1-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;FÍSICA I;1;mañana;Ma-Jue;27;22;PRESENCIAL;5
ENERO 2023;EXGR-AC;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;EXPRESIÓN GRÁFICA;2;mañana;Ma-Jue;78;62;PRESENCIAL;16
ENERO 2023;OCOM-I;Fac_InCa;INFORMATICA;ORGANIZACIÓN DE LAS COMPUTADORAS;2;mañana;Ma-Jue;25;23;PRESENCIAL;2
ENERO 2023;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;8;mañana;Ma-Jue;92;86;PRESENCIAL;6
ENERO 2023;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;21;mañana;Ma-Jue;51;36;EN LINEA;15
ENERO 2023;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;3;mañana;Ma-Jue;87;85;PRESENCIAL;2
ENERO 2023;BAS2-I;Fac_InCa;INFORMATICA;BASE DE DATOS II;2;mañana;Ma-Jue;89;88;PRESENCIAL;1
ENERO 2023;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;9;mañana;Ma-Jue;87;67;PRESENCIAL;20
ENERO 2023;SIOP-N;Fac_InCa;INFORMATICA;SISTEMAS OPERATIVOS;1;mañana;Ma-Jue;28;26;EN LINEA;2
ENERO 2023;TER1-T;Fac_InCa;INFORMATICA;TECNOLOGÍA CERTIFICADA EN REDES I;2;mañana;Ma-Jue;29;24;PRESENCIAL;5
ENERO 2023;PSEX-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA EXPERIMENTAL;1;mañana;Ma-Jue;57;53;PRESENCIAL;4
ENERO 2023;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;6;mañana;Ma-Jue;87;85;PRESENCIAL;2
ENERO 2023;DIBT-I;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO TÉCNICO;3;mañana;Ma-Jue;47;46;PRESENCIAL;1
ENERO 2023;DII1-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DISEÑO DE INTERFACES I;1;mañana;Ma-Jue;51;49;PRESENCIAL;2
ENERO 2023;STCB-H;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;SEMINARIO TALLER DE COMPETENCIAS;2;mañana;Ma-Jue;89;89;PRESENCIAL;0
ENERO 2023;ING1-H;Fac_CiSo;IDIOMAS;INGLÉS I;6;mañana;Ma-Jue;82;71;PRESENCIAL;11
ENERO 2023;MAT1-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;9;mañana;Ma-Jue;89;86;PRESENCIAL;3
ENERO 2023;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;16;mañana;Ma-Jue;67;48;PRESENCIAL;19
ENERO 2023;MYTI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN;5;mañana;Ma-Jue;44;33;PRESENCIAL;11
ENERO 2023;PPT2-H;Fac_CiSo;PSICOLOGIA;PSICO-PATOLOGÍA II;1;mañana;Ma-Jue;54;50;PRESENCIAL;4
ENERO 2023;SIOP-T;Fac_InCa;INFORMATICA;INFORMÁTICA TÉCNICA;2;mañana;Ma-Jue;26;21;PRESENCIAL;5
ENERO 2023;PSD1-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA DEL DESARROLLO I;1;mañana;Ma-Jue;47;42;PRESENCIAL;5
ENERO 2023;CDC1-E;Fac_CiEmp;NEGOCIOS;CONTABILIDAD DE COSTOS I;3;mañana;Ma-Jue;25;18;PRESENCIAL;7
ENERO 2023;DINA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO NATURAL;2;mañana;Ma-Jue;50;47;PRESENCIAL;3
ENERO 2023;DEIN-H;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;7;mañana;Ma-Jue;17;14;PRESENCIAL;3
ENERO 2023;TEEV-H;Fac_CiSo;IDIOMAS;TÉCNICAS DE EVALUACIÓN;1;mañana;Ma-Jue;57;57;PRESENCIAL;0
ENERO 2023;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;18;mañana;Ma-Jue;88;70;PRESENCIAL;18
ENERO 2023;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;5;tarde;Ma-Jue;113;80;EN LINEA;33
ENERO 2023;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;18;mañana;Ma-Jue;43;34;PRESENCIAL;9
ENERO 2023;PSIG-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA GENERAL;3;mañana;Ma-Jue;88;85;PRESENCIAL;3
ENERO 2023;MYTI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;METODOLOGÍA Y TÉCNICAS DE LA INVESTIGACIÓN;2;mañana;Ma-Jue;78;55;PRESENCIAL;23
ENERO 2023;DEIN-H;Fac_CiSo;PSICOLOGIA;DESARROLLO INDIVIDUAL;5;mañana;Ma-Jue;45;40;PRESENCIAL;5
ENERO 2023;GRAS-H;Fac_CiSo;IDIOMAS;GRAMÁTICA SUPERIOR;1;mañana;Ma-Jue;52;49;PRESENCIAL;3
ENERO 2023;NECL-P;Fac_CiSo;PSICOLOGIA;NEUROPSICOLOGÍA CLÍNICA;2;mañana;Ma-Jue;25;23;PRESENCIAL;2
ENERO 2023;FILO-H;Fac_CiSo;ANTROPOLOGIA;FILOSOFÍA;6;mañana;Ma-Jue;41;38;PRESENCIAL;3
ENERO 2023;DCO2-D;Fac_Der;DERECHO;DERECHO CONSTITUCIONAL II / PROCEDIMIENTOS CONSTITUCIONALES;1;mañana;Ma-Jue;79;65;EN LINEA;14
ENERO 2023;MAT1-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;4;mañana;Ma-Jue;89;89;PRESENCIAL;0
ENERO 2023;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;10;mañana;Ma-Jue;88;54;PRESENCIAL;34
ENERO 2023;RRD-I;Fac_InCa;INFORMATICA;RESPALDO Y RECUPERACIÓN DE DATOS;1;tarde;Ma-Jue;2;1;EN LINEA;1
ENERO 2023;MATF-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA FINANCIERA;3;tarde;Ma-Jue;99;84;EN LINEA;15
ENERO 2023;INF1-I;Fac_InCa;INFORMATICA;INFORMÁTICA;11;tarde;Ma-Jue;128;115;EN LINEA;13
ENERO 2023;PSOI-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL I;2;tarde;Ma-Jue;82;80;EN LINEA;2
ENERO 2023;MAT1-T;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA I;5;tarde;Ma-Jue;129;115;EN LINEA;14
ENERO 2023;EI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ESTADÍSTICA Y PROBABILIDADES;2;tarde;Ma-Jue;83;68;EN LINEA;15
ENERO 2023;EMST-T;Fac_CiEmp;NEGOCIOS;EMPRESAS DE SERVICIOS TURÍSTICOS;2;tarde;Ma-Jue;22;19;EN LINEA;3
ENERO 2023;REA1-A;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;8;tarde;Ma-Jue;29;19;PRESENCIAL;10
ENERO 2023;PSEM-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA EMPRESARIAL;3;tarde;Ma-Jue;46;43;EN LINEA;3
ENERO 2023;MAT2-E;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA II;5;tarde;Ma-Jue;140;108;EN LINEA;32
ENERO 2023;STCB-H;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;SEMINARIO TALLER DE COMPETENCIAS;6;tarde;Ma-Jue;63;45;EN LINEA;18
ENERO 2023;EPCS-A;Fac_CiSo;ANTROPOLOGIA;EPISTEMOLOGÍA DE LAS CIENCIAS SOCIALES;1;tarde;Jue;11;8;EN LINEA;3
ENERO 2023;ADM2-E;Fac_CiEmp;NEGOCIOS;ADMINISTRACIÓN II;4;tarde;Ma-Jue;72;60;EN LINEA;12
ENERO 2023;DEME-D;Fac_Der;DERECHO;DERECHO MERCANTIL;2;tarde;Ma-Jue;72;68;EN LINEA;4
ENERO 2023;EPRO-AC;Fac_CiSo;ANTROPOLOGIA;ÉTICA;7;tarde;Ma-Jue;129;110;EN LINEA;19
ENERO 2023;HISI-I;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;ADMÓN. DE LA HIGIENE Y SEGURIDAD INDUSTRIAL;1;tarde;Ma-Jue;134;105;EN LINEA;29
ENERO 2023;EXOE-H;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;12;tarde;Ma-Jue;128;115;EN LINEA;13
ENERO 2023;PSICO-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA COMUNITARIA;2;tarde;Ma-Jue;126;111;EN LINEA;15
ENERO 2023;ETS4-T;Fac_InCa;INFORMATICA;DESARROLLO DE REDES DE DATOS IV;1;tarde;Ma-Jue;45;39;EN LINEA;6
ENERO 2023;DIBT-I;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO TÉCNICO;4;tarde;Ma-Jue;110;80;EN LINEA;30
ENERO 2023;TOP1-I;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TOPOGRAFÍA I;1;tarde;Ma-Jue;49;38;EN LINEA;11
ENERO 2023;OCOM-I;Fac_InCa;INFORMATICA;ORGANIZACIÓN DE LAS COMPUTADORAS;3;tarde;Ma-Jue;49;49;EN LINEA;0
ENERO 2023;DEREN-D;Fac_Der;DERECHO;DERECHO REGISTRAL;1;tarde;Ma-Jue;59;44;EN LINEA;15
ENERO 2023;DINA-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;DIBUJO NATURAL;3;tarde;Ma-Jue;86;51;EN LINEA;35
ENERO 2023;PSO2-H;Fac_CiSo;PSICOLOGIA;PSICOLOGÍA ORGANIZACIONAL II;1;tarde;Ma-Jue;75;66;EN LINEA;9
ENERO 2023;INME-E;Fac_CiEmp;NEGOCIOS;INVESTIGACIÓN DE MERCADO;2;tarde;Ma-Jue;47;42;EN LINEA;5
