IADOS;codigo;facultad;area;materia;seccion;horario;dias;inscritos;asistencia;modalidad
1/2/2023;TECO-D   ;Fac_Der;DERECHO;TÉCNICAS DE ORALIDAD;2;18:40-20:10;Lu-Mie;79;53;EN LINEA
1/2/2023;MESO-E   ;Fac_CiEmp;NEGOCIOS;MERCADOTECNIA SOCIAL;2;18:40-20:10;Lu-Mie;60;57;EN LINEA
1/2/2023;DEL1-D   ;Fac_Der;DERECHO;DERECHO LABORAL I;1;18:40-20:10;Lu-Mie;93;62;EN LINEA
1/2/2023;LODI-E   ;Fac_CiEmp;NEGOCIOS;LOGÍSTICA Y DISTRIBUCIÓN;1;18:40-20:10;Lu-Mie;90;81;EN LINEA
1/2/2023;ETPS1-T;Fac_InCa;INFORMATICA;TÉCNICAS DE PRODUCCIÓN INDUSTRIAL DE SOFTWARE I;1;18:40-20:10;Lu-Mie;74;70;EN LINEA
1/2/2023;DSI-I;Fac_InCa;INFORMATICA;DESARROLLO DE SISTEMAS DE INFORMACIÓN PARA BASES DE DATOS;1;18:40-20:10;Lu-Mie;3;3;EN LINEA
1/2/2023;NEUP-H   ;Fac_CiSo;PSICOLOGIA;NEURO PSICOLOGÍA;2;18:40-20:10;Lu-Mie;87;52;EN LINEA
1/2/2023;BIOG-H   ;Fac_CiSo;PSICOLOGIA;BIOLOGÍA GENERAL;2;18:40-20:10;Lu-Mie;98;92;EN LINEA
1/2/2023;INF1-I   ;Fac_InCa;INFORMATICA;INFORMÁTICA;12;18:40-20:10;Lu-Mie;74;47;EN LINEA
1/2/2023;IED2-D   ;Fac_Der;DERECHO;INTRODUCCIÓN AL ESTUDIO DEL DERECHO II;2;18:40-20:10;Lu-Mie;65;59;EN LINEA
1/2/2023;ING1-H   ;Fac_CiSo;IDIOMAS;INGLÉS I;10;18:40-20:10;Lu-Mie;131;99;EN LINEA
1/2/2023;EXOE-H   ;Fac_CiSo;IDIOMAS;EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL;13;18:40-20:10;Lu-Mie;130;120;EN LINEA
1/2/2023;IA3-H;Fac_CiSo;IDIOMAS;INGLÉS AVANZADO III;3;18:40-20:10;Lu-Mie-Vie;101;82;EN LINEA
1/2/2023;ING2-H   ;Fac_CiSo;IDIOMAS;INGLÉS II;6;18:40-20:10;Lu-Mie;129;98;EN LINEA
1/2/2023;ARHU-B;Fac_CiEmp;NEGOCIOS;ADMINISTRACIÓN DE RECURSOS HUMANOS;1;18:40-20:10;Lu-Mie;49;44;EN LINEA
1/2/2023;BIOG-H   ;Fac_CiSo;PSICOLOGIA;BIOLOGÍA GENERAL;5;18:40-20:10;Lu-Mie;47;41;EN LINEA
1/2/2023;PPS1-H   ;Fac_CiSo;PSICOLOGIA;PRÁCTICAS PSICOLÓGICAS I;2;18:40-20:10;Lu-Mie;80;66;EN LINEA
1/2/2023;IB1-H    ;Fac_CiSo;IDIOMAS;INGLÉS BÁSICO I;3;18:40-20:10;Lu-Mie-Vie;47;38;EN LINEA
1/2/2023;REA1-A   ;Fac_CiSo;ANTROPOLOGIA;REALIDAD NACIONAL;24;18:40-20:10;Lu-Mie;67;59;EN LINEA
1/2/2023;COF1-E   ;Fac_CiEmp;NEGOCIOS;CONTABILIDAD FINANCIERA I;5;18:40-20:10;Lu-Mie;112;98;EN LINEA
1/2/2023;GPTU-N   ;Fac_CiEmp;NEGOCIOS;GESTIÓN DE PROYECTOS TURÍSTICOS;1;18:40-20:10;Lu-Mie;58;45;EN LINEA
1/2/2023;FICE-N   ;Fac_CiEmp;NEGOCIOS;FINANCIAMIENTO AL COMERCIO EXTERIOR;1;18:40-20:10;Lu-Mie;53;45;EN LINEA
1/2/2023;TAPO-DG;Fac_InCa;CIENCIAS APLICADAS AREA ARQUITECTURA;TALLER DE PORTAFOLIO;1;18:40-20:10;Lu-Mie;47;47;EN LINEA
1/2/2023;PUB1-H   ;Fac_CiSo;COMUNICACIONES;PUBLICIDAD I;4;18:40-20:10;Lu-Mie;51;47;EN LINEA
1/2/2023;GECO-E   ;Fac_CiEmp;NEGOCIOS;GERENCIA DE CONFLICTOS;1;18:40-20:10;Lu-Mie;109;87;EN LINEA
1/2/2023;PROG3-I  ;Fac_InCa;INFORMATICA;PROGRAMACIÓN III;2;18:40-20:10;Lu-Mie;65;60;EN LINEA
1/2/2023;PROE-I   ;Fac_InCa;INFORMATICA;PROGRAMACIÓN ORIENTADA A OBJETOS;2;18:40-20:10;Lu-Mie;91;71;EN LINEA
1/2/2023;MAT3-T   ;Fac_InCa;CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS;MATEMÁTICA III;4;18:40-20:10;Lu-Mie;118;96;EN LINEA
1/2/2023;II1-H    ;Fac_CiSo;IDIOMAS;INGLÉS INTERMEDIO I;4;18:40-20:10;Lu-Mie-Vie;40;36;EN LINEA
1/2/2023;STCC-H;Fac_CiSo;IDIOMAS;SEMINARIO TALLER DE COMPETENCIAS;4;18:40-20:10;Lu-Mie;39;35;EN LINEA
